Sp.Code,Genus,Species,New_name,matK,trnL,location,notes,Common.Name,Family
acac cons,Acacia,constricta,Vachellia constricta,,,,,Whitethorn acacia,Fabaceae
acac greg,Acacia,greggii,Senegalia greggii,,,,,Catclaw acacia,Fabaceae
alli inca,Allionia,incarnata,Allionia incarnata,,,,,Trailing windmills,Nyctaginaceae
amar palm,Amaranthus,palmeri,Amaranthus palmeri,,,,,Carelessweed,Amaranthaceae
ambr arte,Ambrosia,artemisiifolia,Ambrosia artemisiifolia,,,,,Annual ragweed,Asteraceae
ammo chen,Ammocodon,chenopodioides,Acleisanthes chenopodioides,,,,,Goosefoot monopod,Nyctaginaceae
amsi inte,Amsinckia,menziesii,Amsinckia menziesii,,,,,Common fiddleneck,Boraginaceae
amsi tess,Amsinckia,tessellata,Amsinckia tessellata,,,,,Bristly Fiddleneck,Boraginaceae
apod undu,Apodanthera,undulata,Apodanthera undulata,,,,,Melon loco,Cucurbitaceae
aris adsc,Aristida,adscensionis,Aristida adscensionis,,,,,Sixweeks threeawn,Poaceae
aris long,Aristida,longiseta,Aristida purpurea,,,,,Purple threeawn,Poaceae
astr allo,Astragalus,allochrous,Astragalus allochrous,,,,,Halfmoon milkvetch,Fabaceae
astr nutt,Astragalus,nuttallianus,Astragalus nuttallianus,,,,,Smallflowered milkvetch,Fabaceae
atri acan,Atriplex,acanthocarpa,Atriplex acanthocarpa,,,,,Tubercled Saltbush,Chenopodiaceae
bahi absi,Bahia,absinthifolia,Bahia absinthifolia,,,,,Sageleaf Bahia,Asteraceae
bail mult,Baileya,multiradiata,Baileya multiradiata,,,,,Desert marigold,Asteraceae
boer cocc,Boerhavia,coccinea,Boerhavia coccinea,,,,,Garnet spiderling,Nyctaginaceae
boer inte,Boerhavia,intermedia,Boerhavia intermedia,,,,,Firewing spiderling,Nyctaginaceae
boer torr,Boerhavia,torreyana,Boerhavia torreyana,,,,,Creeping spiderling,Nyctaginaceae
bout aris,Bouteloua,aristidoides,Bouteloua aristidoides,,,,,Needle grama,Poaceae
bout barb,Bouteloua,barbata,Bouteloua barbata,,,,,Sixweeks grama,Poaceae
bout dact,Bouteloua,dactyloides,Bouteloua dactyloides,,,,,Buffalo grass,Poaceae
bout erio,Bouteloua,eriopoda,Bouteloua eriopoda,,,,,Black grama,Poaceae
bric eupa,Brickellia,eupatorioides,Brickellia eupatorioides,,,,,False Boneset,Asteraceae
cass bauh,Cassia,bauhinoides,Cassia bauhinoides,,,,,Twinleaf senna,Fabaceae
cass lept,Cassia,leptadenia,Cassia leptadenia,,,,,Sensitive partridge pea,Fabaceae
chae stev,Chaenactis,stevioides,Chaenactis stevioides,,,,,Esteve's pincushion,Asteraceae
chen sp,Chenopodium,sp.,,,,,,Unknown chenopodium,Chenopodiaceae
chlo virg,Chloris,virgata,Chloris virgata,,,,,Feather fingergrass,Poaceae
comm erec,Commelina,erecta,Commelina erect,,,,,Whitemouth daisyflower,Commelinaceae
crot cory,Croton,corymbulosa,Croton corymbulosa,,,,,Leatherweed,Eurphorbiaceae
crot pumi,Crotalaria,pumila,Crotalaria pumila,,,,,Low rattlebox,Fabaceae
cryp cras,Cryptantha,crassisepala,Cryptantha crassisepala,,,,,Thicksepal cryptantha,Boraginaceae
cryp micr,Cryptantha,micrantha,Cryptantha micrantha,,,,,Redroot cryptantha,Boraginaceae
cusc sp,Cuscuta,sp.,,,,,,Unknown,Cuscutaceae
dale brac,Dalea,brachystachya,Dalea brachystachya,,,,,Fort Bowie prairie clover,Fabaceae
dale nana,Dalea,nana,Dalea nana,,,,,Dwarf prairie clover,Fabaceae
dale pogo,Dalea,pogonathera,Dalea pogonathera,,,,,Bearded prairie clover,Fabaceae
desc obtu,Descurainia,obtusa,Descurainia sophia,,,,,Blunt tansymustard,Brassicaceae
desc pinn,Descurainia,pinnata,Descurainia pinnata,,,,,Western tansymustard,Brassicaceae
dich pulc,Dichelostemma,pulchellum,Dichelostemma capitatum,,,,,Blue Dicks,Liliaceae
dith wisl,Dimorphocarpa (Dithyrea),wislizeni,Dimorphocarpa wislizen,,,,,Spectaclepod,Brassicaceae
ephe trif,Ephedra,trifurca,Ephedra trifurca,,,,,Longleaf jointfir,Ephedraceae
erag arid,Eragrostis,pectinaceae,Eragrostis pectinacea,,,,,Desert lovegrass,Poaceae
erag cili,Eragrostis,cilianensis,Eragrostis cilianensis,,,,,Stinkgrass,Poaceae
erag inte,Eragrostis,intermedia,Eragrostis intermedia,,,,,Plains Lovegrass,Poaceae
erag lehm,Eragrostis,lehmanniana,Eragrostis lehmanniana,,,,,Lehmann’s lovegrass,Poaceae
eria diff,Eriastrum,diffusum,Eriastrum diffusum,,,,,Miniature woollystar,Polemoniaceae
erig dive,Erigeron,divergens,Erigeron divergens,,,,,Spreading fleabane,Asteraceae
erio aber,Eriogonum,abertianum,Eriogonum abertianum,,,,,Abert's buckwheat,Polygonaceae
erio lemm,Eriochloa,lemmonii,Eriochloa lemmoni,,,,,Canyon cupgrass,Poaceae
erio poly,Eriogonum,polycladon,Eriogonum polycladon,,,,,Sorrel buckwheat,Polygonaceae
erod cicu,Erodium,cicutarium,Erodium cicutarium,,,,,Redstem stork's bill,Geraniaceae
erod texa,Erodium,texanum,Erodium texanum,,,,,Texas stork's bill,Geraniaceae
esch mexi,Eschscholzia,californica,Eschscholzia californica,,,,,California poppy,Papaveraceae
euph exst,Euphorbia,exstipulata,Euphorbia exstipulata,,,,,Squareseed spurge,Euphorbiaceae
euph micr,Euphorbia,micromera,Euphorbia micromera,,,,,Sonoran sandmat,Euphorbiaceae
euph serp,Euphorbia,serpyllifolia,Euphorbia serpyllifolia,,,,,Thymeleaf sandmat,Euphorbiaceae
euph serr,Euphorbia,serrula,Euphorbia serrula,,,,,Sawtooth sandmat,Euphorbiaceae
euro lana,Eurotia,lanata,Krascheninnikovia lanata,,,,,Winterfat,Chenopodiaceae
flou cern,Flourensia,cernua,Flourensia cernua,,,,,Tarbush,Asteraceae
gili sinu,Gilia,sinuata,Gilia sinuata,,,,,Rosy gilia,Polemoniaceae
guti saro,Gutierrezia,sarothrae,Gutierrezia sarothrae,,,,,Snakeweed,Asteraceae
hapl grac,Machaeranthera (Haplopappus),gracilis,Machaeranthera gracilis,,,,,Slender Goldenweed,Asteraceae
hapl spin,Haplopappus,spinulosus,Haplopappus spinulosus,,,,,Lacy tansyaster,Asteraceae
hapl tenu,Isocoma (Haplopappus),tenuisecta,Isocoma tenuisecta,,,,,Burroweed,Asteraceae
hete suba,Heterotheca,subaxillaris,Heterotheca subaxillaris,,,,,Camphorweed,Asteraceae
hila muti,Hilaria,mutica,Pleuraphis mutica,,,,,Tobosa grass,Poaceae
hoff dens,Hoffmanseggia,densiflora,Hoffmannseggia glauca,,,,,Hog potato,Fabaceae
ipom cost,Ipomoea,costellata,Ipomoea costellata,,,,,Crestrib Morning Glory,Convolvulaceae
kall cali,Kallstroemia,californica,Kallstroemia californica,,,,,California Caltrop,Zygophyllaceae
kall gran,Kallstroemia,grandiflora,Kallstroemia grandiflora,,,,,Arizona Poppy,Zygophyllaceae
kall hirs,Kallstroemia,hirsutissima, Kallstroemia hirsutissima,,,,,Hairy Caltrop,Zygophyllaceae
laen coul,Laennecia,coulteri ,Laennecia coulteri,,,,,Coulter's Horseweed,Asteraceae
lapp redo,Lappula,occidentalis,Lappula occidentali,,,,,Flatspine stickseed,Boraginaceae
lepi lasi,Lepidium,lasiocarpum,Lepidium lasiocarpum,,,,,Shaggyfruit pepperweed,Brassicaceae
lesq gord,Lesquerella,gordonii,Lesquerella gordonii,,,,,Bladderpod,Brassicaceae
lina bige,Linanthus,bigelovii,Linanthus bigelovii,,,,,Bigelow's linanthus,Polemoniaceae
lina texa,Nuttallanthus (Linaria),texanus, Nuttallanthus texanus,,,,,Texas toadflax,Scrophulariaceae
lupi conc,Lupinus,concinnus,Lupinus concinnus,,,,,Bajada lupine,Fabaceae
lyci torr,Lycium,torreyi,Lycium torrey,,,,,Torrey wolfberry,Solanaceae
lycu phle,Lycurus,phleoides,Lycurus phleoides,,,,,Wolf tail,Poaceae
