"","Family","Genus","Genus_sp"
"1","Aizoaceae","Trianthema","Trianthema portulacastrum"
"2","Amaranthaceae","Amaranthus","Amaranthus palmeri"
"3","Amaranthaceae","Chenopodium","Chenopodium fremontii"
"4","Amaranthaceae","Tidestromia","Tidestromia lanuginosa"
"5","Asparagaceae","Yucca","Yucca elata"
"6","Asteraceae","Ambrosia","Ambrosia artemisiifolia"
"7","Asteraceae","Cirsium","Cirsium neomexicanum"
"8","Asteraceae","Gutierrezia","Gutierrezia sarothrae"
"9","Asteraceae","Pectis","Pectis papposa"
"10","Asteraceae","Stephanomeria","Stephanomeria exigua"
"11","Asteraceae","Uropappus","Uropappus lindleyi"
"12","Boraginaceae","Amsinckia","Amsinckia menziesii"
"13","Boraginaceae","Amsinckia","Amsinckia tessellata"
"14","Boraginaceae","Cryptantha","Cryptantha crassisepala"
"15","Boraginaceae","Lappula","Lappula occidentalis"
"16","Boraginaceae","Plagiobothrys","Plagiobothrys arizonicus"
"17","Brassicaceae","Chorispora","Chorispora tenella"
"18","Brassicaceae","Descurainia","Descurainia pinnata"
"19","Brassicaceae","Lepidium","Lepidium lasiocarpum"
"20","Brassicaceae","Sisymbrium","Sisymbrium irio"
"21","Commelinaceae","Commelina","Commelina erecta"
"22","Ephedraceae","Ephedra","Ephedra torreyana"
"23","Ephedraceae","Ephedra","Ephedra trifurca"
"24","Euphorbiaceae","Euphorbia","Euphorbia fendleri"
"25","Euphorbiaceae","Euphorbia","Euphorbia micromera"
"26","Euphorbiaceae","Euphorbia","Euphorbia serrula"
"27","Fabaceae","Lupinus","Lupinus concinnus"
"28","Geraniaceae","Erodium","Erodium cicutarium"
"29","Geraniaceae","Erodium","Erodium texanum"
"30","Lamiaceae","Tetraclea","Tetraclea coulteri"
"31","Malvaceae","Sphaeralcea","Sphaeralcea angustifolia"
"32","Martyniaceae","Proboscidea","Proboscidea parviflora"
"33","Molluginaceae","Mollugo","Mollugo verticillata"
"34","Onagraceae","Oenothera","Oenothera primiveris"
"35","Papaveraceae","Eschscholzia","Eschscholzia californica"
"36","Plantaginaceae","Nuttallanthus","Nuttallanthus texanus"
"37","Plantaginaceae","Plantago","Plantago patagonica"
"38","Poaceae","Aristida","Aristida adscensionis"
"39","Poaceae","Aristida","Aristida ternipes"
"40","Poaceae","Bouteloua","Bouteloua aristidoides"
"41","Poaceae","Bouteloua","Bouteloua dactyloides"
"42","Poaceae","Bromus","Bromus rubens"
"43","Poaceae","Chloris","Chloris virgata"
"44","Poaceae","Enneapogon","Enneapogon desvauxii"
"45","Poaceae","Eragrostis","Eragrostis cilianensis"
"46","Poaceae","Eragrostis","Eragrostis intermedia"
"47","Poaceae","Eragrostis","Eragrostis lehmanniana"
"48","Poaceae","Panicum","Panicum hirticaule"
"49","Poaceae","Panicum","Panicum miliaceum"
"50","Poaceae","Schismus","Schismus barbatus"
"51","Poaceae","Tragus","Tragus berteronianus"
"52","Polemoniaceae","Eriastrum","Eriastrum diffusum"
"53","Polemoniaceae","Gilia","Gilia sinuata"
"54","Polygonaceae","Rumex","Rumex crispus"
"55","Solanaceae","Lycium","Lycium torreyi"
"56","Solanaceae","Solanum","Solanum rostratum"
