Sp Code,Genus_sp,Genus,Alt Genus,Species,Alt Species,subspecies,Common Name,Family,Duration,Community
acac cons,Acacia constricta,Acacia,,constricta,,,Whitethorn acacia,Leguminosae,Perennial,Shrub
acac greg,Acacia greggii,Acacia,,greggii,,,Catclaw acacia,Leguminosae,Perennial,Shrub
alli inca,Allionia incarnata,Allionia,,incarnata,,,Trailing windmills,Nyctaginaceae,Perennial,Perennial Forb
amar palm,Amaranthus palmeri,Amaranthus,,palmeri,,,Carelessweed,Amaranthaceae,Annual,Summer Annuals
ambr arte,Ambrosia artemisiifolia,Ambrosia,,artemisiifolia,,,Annual ragweed,Asteraceae,Annual,Summer and Winter Annuals
ammo chen,Ammocodon chenopodioides,Ammocodon,,chenopodioides,,,Goosefoot monopod,Nyctaginaceae,Perennial,Perennial Forb
amsi inte,Amsinckia menziesii,Amsinckia,,menziesii,intermedia,,Common fiddleneck,Boraginaceae,Annual,Winter Annuals
amsi tess,Amsinckia tessellata,Amsinckia,,tessellata,,,Bristly Fiddleneck,Boraginaceae,Annual,Winter Annuals
andr occi,Androsace occidentalis,Androsace,,occidentalis,,,Western rockjasmine,Primulaceae,Annual,Winter Annuals
apod undu,Apodanthera undulata,Apodanthera,,undulata,,,Melon loco,Cucurbitaceae,Perennial,Perennial Forb
aris adsc,Aristida adscensionis,Aristida,,adscensionis,,,Sixweeks threeawn,Poaceae,Annual,Summer Annuals
aris hamu,Aristida ternipes,Aristida,,ternipes,hamulosa,var. gentilis,Spidergrass,Poaceae,Perennial,Perennials
aris long,Aristida longiseta,Aristida,,longiseta,,,Purple threeawn,Poaceae,Perennial,Perennials
astr allo,Astragalus allochrous,Astragalus,,allochrous,,,Halfmoon milkvetch,Leguminosae,Annual,Winter Annuals
astr nutt,Astragalus nuttallianus,Astragalus,,nuttallianus,,,Smallflowered milkvetch,Leguminosae,Annual,Winter Annuals
atri acan,Atriplex acanthocarpa,Atriplex,,acanthocarpa,,,Tubercled Saltbush,Amaranthaceae,Perennial,Shrub
atri eleg,Atriplex elegans,Atriplex,,elegans,,,Wheelscale Saltbush,Amaranthaceae,Annual,Summer Annuals
atri wrig,Atriplex wrightii,Atriplex,,wrightii,,,Wright's saltbush,Amaranthaceae,Annual,Summer Annuals
bahi absi,Bahia absinthifolia,Bahia,,absinthifolia,,,Sageleaf Bahia,Asteraceae,Perennial,Perennial Forb
bahi bite,Bahia biternata,Bahia,,biternata,,,Slimlobe bahia,Asteraceae,Annual,Summer Annuals
bail mult,Baileya multiradiata,Baileya,,multiradiata,,,Desert marigold,Asteraceae,Annual,Summer and Winter Annuals
boer cocc,Boerhavia coccinea,Boerhavia,,coccinea,,,Garnet spiderling,Nyctaginaceae,Perennial,Perennial Forb
boer coul,Boerhavia coulteri,Boerhavia,,coulteri,,,Coulter's spiderling,Nyctaginaceae,Annual,Summer Annuals
boer inte,Boerhavia intermedia,Boerhavia,,intermedia,,,Firewing spiderling,Nyctaginaceae,Annual,Summer Annuals
boer torr,Boerhavia spicata,Boerhavia,,spicata,torreyana,,Creeping spiderling,Nyctaginaceae,Annual,Summer Annuals
both barb,Bothriochloa barbinodis,Bothriochloa,,barbinodis,,,Cane bluestem,Poaceae,Perennial,Perennials
bout aris,Bouteloua aristidoides,Bouteloua,,aristidoides,,,Needle grama,Poaceae,Annual,Summer Annuals
bout barb,Chondrosum barbatum,Chondrosum,Bouteloua,barbatum,barbata,,Sixweeks grama,Poaceae,Annual,Summer Annuals
bout dact,Buchloe dactyloides,Buchloe,Bouteloua,dactyloides,,,Buffalo grass,Poaceae,Perennial,Perennials
bout erio,Chondrosum eriopodum,Chondrosum,Bouteloua,eriopodum,eriopoda,,Black grama,Poaceae,Perennial,Perennials
bray dens,Guilleminea densa,Guilleminea,Brayulinea,densa,,var. densa ,Small matweed ,Amaranthaceae,Perennial,Perennial Forb
bric eupa,Brickellia eupatorioides,Brickellia,,eupatorioides,,var. chlorolepis,False Boneset,Asteraceae,Perennial,Subshrub
brom rube,Bromus rubens,Bromus,,rubens,,,Red brome,Poaceae,Annual,Winter Annuals
caly wrig,Calycoseris wrightii,Calycoseris,,wrightii,,,White tackstem,Asteraceae,Annual,Winter Annuals
cass bauh,Senna bauhinoides,Senna,Cassia,bauhinoides,,,Twinleaf senna,Leguminosae,Perennial,Subshrub
cass lept,Chamaecrista nictitans,Chamaecrista,Cassia,nictitans,leptadenia,var. mensalis,Sensitive partridge pea,Leguminosae,Annual,Summer Annuals
chae stev,Chaenactis stevioides,Chaenactis,,stevioides,,,Esteve's pincushion,Asteraceae,Annual,Winter Annuals
chen frem,Chenopodium fremontii,Chenopodium,,fremontii,,,Fremont's goosefoot,Amaranthaceae,Annual,Summer and Winter Annuals
chlo virg,Chloris virgata,Chloris,,virgata,,,Feather fingergrass,Poaceae,Annual,Summer Annuals
chor tene,Chorispora tenella,Chorispora,,tenella,,,Crossflower,Brassicaceae,Annual,Winter Annuals
cirs neom,Cirsium neomexicanum,Cirsium,,neomexicanum,,,New Mexico thistle,Asteraceae,Perennial,Perennial Forb
comm erec,Commelina erecta,Commelina,,erecta,,,Whitemouth dayflower,Commelinaceae,Perennial,Shrub
crot cory,Croton potsii,Croton,,potsii,corymbulosus,,Leatherweed,Euphorbiaceae,Perennial,Subshrub
crot pumi,Crotalaria pumila,Crotalaria,,pumila,,,Low rattlebox,Leguminosae,Annual,Summer Annuals
cryp cras,Cryptantha crassisepala,Cryptantha,,crassisepala,,,Thicksepal cryptantha,Boraginaceae,Annual,Winter Annuals
cryp micr,Cryptantha micrantha,Cryptantha,,micrantha,,,Redroot cryptantha,Boraginaceae,Annual,Winter Annuals
