old_name,new_name,vial_barcode
Cassia bauhinoides,Senna bauhinoides,S009007
Sphaeralcea coccinea,Sphaeralcea hastulata,S009904
Eurotia lanata,Krascheninnikovia lanata,S009001
Gutierrezia sarothrae,Gutierrezia microcephala,S009013
Erigeron divergens,Erigeron concinnus,S008885
Hoffmanseggia densiflora,Hoffmannseggia glauca,S008818
Lesquerella gordonii,Physaria gordonii,S008887
Lycium torreyi,Lycium andersonii,S008875
Ephedra torreyana,Ephedra trifurca,S008882
Acacia greggii,Mimosa aculeaticarpa,S008878
Acacia constricta,Vachellia constricta,S008828
Chondrosum barbatum,Bouteloua barbata,S008849
Malvella lepidota,Abutilon parvulum,S009045
Eriochloa lemmonii,Eriochloa acuminata,S009035
Tetraclea coulteri,Clerodendrum coulteri,S009069
Portulaca suffretescens,Talinum aurantiacum,S009029
Hilaria mutica,Enneapogon desvauxii,S008869
Euphorbia micromera,Euphorbia serpillifolia,S009068
Polygala tweedyi,Polygala lindheimeri,S008839
Sida spinosa,Sida neomexicana,S008896
Sphaeralcea coulteri,Sphaeralcea laxa,S009049
Cuscuta tuberculata,Cuscuta umbellata,S008843
Atriplex acanthocarpa,Chenopodium fremontii,S009039
Erioneuron pulchellum,Dasyochloa pulchella,S009056
Kali tragus,Salsola tragus,S008852
Parthenium incanum,Bahia absinthifolia,S008853
Bouteloua gracilis,Bouteloua barbata,S009079
Dalea brachystachya,Dalea brachystachys,S008851
Aristida purpurea,Aristida ternipes,S008841
Phemeranthus aurantiacus,Talinum aurantiacum,S008833
Setaria macrostachya,Setaria leucopila,S009055
